direction,discovery_state,terminal_outcome,count,duration_minutes_mean,duration_minutes_std,max_extension_points_mean,max_extension_points_std,max_extension_atr_mean,max_extension_atr_std
down,D0,A,58,168.18965517241378,98.0945581938541,218.91379310344828,197.8652216706197,5.5022625937251375,2.4947703953644154
down,D0,A*,4,17.5,6.454972243679028,39.125,35.89016810585689,1.3898610179314494,1.1800446398731117
down,D0,R,258,36.51162790697674,44.326365884366204,57.0281007751938,60.02727116194218,1.4393425323368552,1.1753945705419115
down,D1,A,3,91.66666666666667,40.414518843273804,103.33333333333333,74.5236260076852,3.3659484193085873,1.9802385327730567
down,D1,R,1,20.0,,165.75,,1.1993495869886839,
up,D0,A,78,204.10256410256412,88.08844282636491,144.23717948717947,208.57432688013128,5.601675662453472,2.398763296011099
up,D0,A*,11,18.636363636363637,5.518563713009523,43.43181818181818,52.210881398072914,1.5339586425608724,0.8750285030993498
up,D0,R,300,34.333333333333336,43.29322386931799,33.2675,36.64634703833632,1.2267982164804891,1.0341441874980875
up,D1,R,2,55.0,63.63961030678928,50.875,39.7747564417433,1.2852005273744038,0.9464242194156807
up,D2,R,1,20.0,,30.75,,0.9700124280927247,
up,D3,R,1,10.0,,7.75,,0.3282121579720203,
