direction,discovery_state,n,mean_extension,std_extension,median_extension,mean_extension_atr,std_extension_atr,mean_retracement,std_retracement,mean_extension_ib,std_extension_ib
down,D0,347,78.03962536023054,91.91431935796743,42.75,2.87055678676114,3.3080656868135985,69.61311239193084,51.30835174775299,0.6131770136734022,0.6472182895837192
down,D1,168,33.538690476190474,47.54032316274882,17.125,1.1028232465103978,1.4617605419729165,49.936011904761905,32.12754098881333,0.2379731088743978,0.2329198309900696
down,D2,103,31.097087378640776,40.32357228259353,18.25,1.1097941197562573,1.4276874493882084,46.519417475728154,26.9593623311902,0.24916786066339303,0.23659712379379902
down,D3,50,25.415,31.74068278845859,13.625,0.8483299471746428,1.012359638901584,40.775,22.554483354485313,0.21387656994807866,0.2073837265386067
down,D4,22,11.386363636363637,16.702709944213233,5.25,0.3698223040187838,0.4108129468207463,42.21590909090909,33.30471647695548,0.10959965276628438,0.13212405844842293
down,D5,7,15.714285714285714,17.22003954422759,12.0,0.5532552760662899,0.4987946233957274,39.285714285714285,19.29023315665457,0.1542283413736619,0.14847241813485457
down,D6,2,6.25,6.010407640085654,6.25,0.26993330351457445,0.20499477348023443,21.5,12.727922061357855,0.05661505981703026,0.022342782881967626
up,D0,395,79.06962025316456,85.6886697466583,53.25,3.4709396203567646,3.6741610834681913,64.3493670886076,53.14007414901558,0.7859611509183478,0.8240028615905398
up,D1,163,25.503067484662576,31.56119115034715,12.25,1.0619800228770842,1.432438150824144,39.19631901840491,25.871443548921,0.23821947969850293,0.25380522543807493
up,D2,90,18.95,21.42547181969697,12.25,0.7272751067920341,0.8656041957005922,35.15277777777778,16.027526113560032,0.20068404936454812,0.19911661365473105
up,D3,49,17.760204081632654,18.26483124406436,11.75,0.6414260712314501,0.5722796107296648,33.37244897959184,17.420363626444512,0.19306365517962606,0.1705900763564902
up,D4,16,25.609375,32.90566931269848,11.625,0.8268174699346729,0.8224028366767514,34.109375,17.57720321657193,0.23467876666241377,0.19880662768692342
up,D5,6,13.458333333333334,15.204782690544006,8.125,0.48018326874629463,0.4947286782469789,25.25,11.489125293076057,0.12205404479585356,0.1523196655921246
up,D6,2,5.125,6.187184335382291,5.125,0.254310517969165,0.31752563102157766,41.25,25.809397513308983,0.06736910664761744,0.08876718668773892
