fib_percent,entry_price,long_trades,long_wins,long_losses,long_inconclusive,long_win_rate,short_trades,short_wins,short_losses,short_inconclusive,short_win_rate,long_ev,short_ev
0.0,25468.5,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
2.5,25470.19,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
5.0,25471.88,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
7.5,25473.56,5,4,1,0,80.0,5,0,5,0,0.0,1.4,-1.0
10.0,25475.25,5,4,1,0,80.0,5,0,5,0,0.0,1.4,-1.0
12.5,25476.94,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
15.0,25478.62,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
17.5,25480.31,4,3,1,0,75.0,4,0,4,0,0.0,1.25,-1.0
20.0,25482.0,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
22.5,25483.69,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
25.0,25485.38,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
27.5,25487.06,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
30.0,25488.75,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
32.5,25490.44,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
35.0,25492.12,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
37.5,25493.81,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
40.0,25495.5,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
42.5,25497.19,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
45.0,25498.88,2,1,1,0,50.0,2,1,1,0,50.0,0.5,0.5
47.5,25500.56,2,0,1,1,0.0,2,1,1,0,50.0,-1.0,0.5
50.0,25502.25,2,0,1,1,0.0,2,1,1,0,50.0,-1.0,0.5
52.5,25503.94,2,0,1,1,0.0,2,1,1,0,50.0,-1.0,0.5
55.0,25505.62,4,2,1,1,66.67,4,1,3,0,25.0,1.0,-0.25
57.5,25507.31,4,2,1,1,66.67,4,1,3,0,25.0,1.0,-0.25
60.0,25509.0,4,2,1,1,66.67,4,1,3,0,25.0,1.0,-0.25
62.5,25510.69,4,2,1,1,66.67,4,1,3,0,25.0,1.0,-0.25
65.0,25512.38,5,2,1,2,66.67,5,1,4,0,20.0,1.0,-0.4
67.5,25514.06,6,3,1,2,75.0,6,1,5,0,16.67,1.25,-0.5
70.0,25515.75,6,3,1,2,75.0,6,1,5,0,16.67,1.25,-0.5
72.5,25517.44,7,5,0,2,100.0,7,0,7,0,0.0,2.0,-1.0
75.0,25519.12,7,5,0,2,100.0,7,0,7,0,0.0,2.0,-1.0
77.5,25520.81,8,6,0,2,100.0,8,0,8,0,0.0,2.0,-1.0
80.0,25522.5,10,8,0,2,100.0,10,0,10,0,0.0,2.0,-1.0
82.5,25524.19,10,7,0,3,100.0,10,0,10,0,0.0,2.0,-1.0
85.0,25525.88,10,4,0,6,100.0,10,0,10,0,0.0,2.0,-1.0
87.5,25527.56,11,4,2,5,66.67,11,0,11,0,0.0,1.0,-1.0
90.0,25529.25,10,3,3,4,50.0,10,0,10,0,0.0,0.5,-1.0
92.5,25530.94,11,3,4,4,42.86,11,0,11,0,0.0,0.2857,-1.0
95.0,25532.62,13,4,4,5,50.0,13,0,13,0,0.0,0.5,-1.0
97.5,25534.31,14,5,5,4,50.0,14,0,14,0,0.0,0.5,-1.0
100.0,25536.0,14,1,7,6,12.5,14,0,14,0,0.0,-0.625,-1.0
